tomoID,beamtimeID,sampleID,resinID,epoxyID,tomoSeries,doseBoostTomogram,dose,accDose_series,resolution_r,resolution_nr,wkName_r,wkName_nr,wkLink_r,wkLink_nr
366,e18536,EPL-5,A,EMbed812,EPL-5_s1,0,786000000,1294000000,38.55,38.18,C319_EPL5_cSAXS_366_hann,C319_EPL5_cSAXS_366_S04297-S04698_nr_hann,https://wklink.org/8276,https://wklink.org/3777
366+367,e18536,EPL-5,A,EMbed812,EPL-5_s1,0,1570000000,0,37.52,38.43,C319_EPL5_cSAXS_366and367_hann,C319_EPL5_cSAXS_366and367_S04297-S05105_nr_hann,https://wklink.org/1012,https://wklink.org/5627
367,e18536,EPL-5,A,EMbed812,EPL-5_s1,0,781000000,2075000000,37.59,37.52,C319_EPL5_cSAXS_367_hann,C319_EPL5_cSAXS_367_S04703-S05105_nr_hann,https://wklink.org/8364,https://wklink.org/3739
396+397,e18604,EPL-6,A,EMbed812,EPL-6_s1,0,607000000,607000000,99.44,73.19,C319_EPL6_cSAXS_396_397,C319_EPL6_cSAXS_396and397_S02509-S02864_nr_hann,https://wklink.org/2618,https://wklink.org/7941
398,e18604,EPL-6,A,EMbed812,EPL-6_s1,0,575000000,1182000000,69.47,61.82,C319_EPL6_cSAXS_398,C319_EPL6_cSAXS_398_S02866-S03221_nr_hann,https://wklink.org/2270,https://wklink.org/2456
449,e18628,EPL-8,A,EMbed812,EPL-8_s1,0,16900000,16900000,126.25,125.53,C319_EPL8_cSAXS_449_hann,C319_EPL8_cSAXS_449_S00099-S00399_nr_hann,https://wklink.org/7914,https://wklink.org/8331
282,e17964,GLOM-F,A,EMbed812,GLOM_F_s1,0,13400000,13400000,80.7,80.04,C319_glomA_cSAXS_282,C319_glomF_cSAXS_282_S02959-S03461_nr_hann,https://wklink.org/5044,https://wklink.org/2551
283,e17964,GLOM-F,A,EMbed812,GLOM_F_s1,0,38300000,51700000,65.41,63.38,C319_glomA_cSAXS_283,C319_glomF_cSAXS_283_S03591-S04092_nr_hann,https://wklink.org/4851,https://wklink.org/5953
361,e18536,RAD-3,A,EMbed812,RAD_3_s1,0,19000000,19000000,104.64,102.74,C556_RAD3_cSAXS_361_hann,C556_RAD3_cSAXS_361_S01305-S01810_nr_hann,https://wklink.org/6411,https://wklink.org/7360
362,e18536,RAD-3,A,EMbed812,RAD_3_s1,0,44400000,63400000,90.71,87.29,C556_RAD3_cSAXS_362_hann,C556_RAD3_cSAXS_362_S01815-S02320_nr_hann,https://wklink.org/8159,https://wklink.org/5281
363,e18536,RAD-3,A,EMbed812,RAD_3_s1,0,231000000,294400000,80.82,75.32,C556_RAD3_cSAXS_363_hann,C556_RAD3_cSAXS_363_S02325-S02930_nr_hann,https://wklink.org/5931,https://wklink.org/3263
364,e18536,RAD-3,A,EMbed812,RAD_3_s1,0,224000000,518400000,66.56,64.46,C556_RAD3_cSAXS_364_hann,C556_RAD3_cSAXS_364_S02935-S03539_nr_hann,https://wklink.org/5101,https://wklink.org/3775
365,e18536,RAD-3,A,EMbed812,RAD_3_s1,0,50100000,568500000,76.44,76.37,C556_RAD3_cSAXS_365_hann,C556_RAD3_cSAXS_365_S03544-S04146_nr_hann,https://wklink.org/7377,https://wklink.org/5422
816,e19533,M1_1,C,EMbed812,M1_1_s1,0,46000000,46000000,75.9,75.6,M1_M1-1_cSAXS_816_S00040-S00398_rigid_ramlak,M1_M1-1_cSAXS_816_S00040-S00398_nr_ramlak,https://wklink.org/9425,https://wklink.org/9130
817,e19533,M1_1,C,EMbed812,M1_1_s2,0,34000000,34000000,77,77.47,M1_M1-1_cSAXS_817_S00403-S00754_rigid_ramlak,M1_M1-1_cSAXS_817_S00403-S00754_nr_ramlak,https://wklink.org/3686,https://wklink.org/8337
818,e19533,M1_1,C,EMbed812,M1_1_s2,0,66000000,100000000,75,74.64,M1_M1-1_cSAXS_818_S00759-S01110_rigid_ramlak,M1_M1-1_cSAXS_818_S00759-S01110_nr_ramlak,https://wklink.org/7806,https://wklink.org/5285
819,e19533,M1_1,C,EMbed812,M1_1_s2,0,130000000,230000000,66.6,66.14,M1_M1-1_cSAXS_819_S01115-S01466_rigid_ramlak,M1_M1-1_cSAXS_819_S01115-S01466_nr_ramlak,https://wklink.org/9540,https://wklink.org/8460
820,e19533,M1_1,C,EMbed812,M1_1_s2,0,260000000,490000000,64.8,63.82,M1_M1-1_cSAXS_820_S01471-S01822_rigid_ramlak,M1_M1-1_cSAXS_820_S01471-S01822_nr_ramlak,https://wklink.org/4109,https://wklink.org/3129
821,e19533,M1_1,C,EMbed812,M1_1_s2,0,530000000,1020000000,58.7,58.27,M1_M1-1_cSAXS_821_S01827-S02534_rigid_ramlak,M1_M1-1_cSAXS_821_S01827-S02534_nr_ramlak,https://wklink.org/6417,https://wklink.org/5330
825,e19533,M1_2,C,EMbed812,M1_2_s1,0,45900000,45900000,69.8,69.19,M1_M1-2_cSAXS_825_S02738-S03090_FBP_rigid_ramlak,M1_M1-2_cSAXS_825_S02738-S03090_FBP_nr_ramlak,https://wklink.org/9996,https://wklink.org/1886
826,e19533,M1_2,C,EMbed812,M1_2_s1,0,88800000,134700000,61.6,60.7,M1_M1-2_cSAXS_826_S03095-S03446_rigid_ramlak,M1_M1-2_cSAXS_826_S03095-S03446_nr_ramlak,https://wklink.org/8356,https://wklink.org/5089
827,e19533,M1_2,C,EMbed812,M1_2_s1,0,178300000,313000000,55.5,54.9,M1_M1-2_cSAXS_827_S03451-S03803_rigid_ramlak,M1_M1-2_cSAXS_827_S03451-S03803_nr_ramlak,https://wklink.org/9716,https://wklink.org/5694
828,e19533,M1_2,C,EMbed812,M1_2_s1,0,353600000,666600000,53.5,53.3,M1_M1-2_cSAXS_828_S03808-S04161_rigid_ramlak,M1_M1-2_cSAXS_828_S03808-S04161_nr_ramlak,https://wklink.org/7212,https://wklink.org/8760
829,e19533,M1_2,C,EMbed812,M1_2_s1,0,605500000,1272100000,47.4,46.7,M1_M1-2_cSAXS_829_S04166-S04765_rigid_ramlak,M1_M1-2_cSAXS_829_S04166-S04765_nr_ramlak,https://wklink.org/5494,https://wklink.org/2768
450,e18628,CX-1,B,Epon812,CX-1_s1,0,27800000,27800000,86.16,82.75,Y024_CX1_cSAXS_450_hann,Y024_CX1_cSAXS_450_S00831-S01288_nr_hann,https://wklink.org/2788,https://wklink.org/1152
451,e18628,CX-1,B,Epon812,CX-1_s1,0,122000000,149800000,74.26,68.88,Y024_CX1_cSAXS_451_hann,Y024_CX1_cSAXS_451_S01302-S02216_nr_hann,https://wklink.org/4354,https://wklink.org/8288
453,e18628,CX-1,B,Epon812,CX-1_s1,0,530000000,679800000,88.11,62.92,Y024_CX1_cSAXS_453_hann,Y024_CX1_cSAXS_453_S02248-S03163_nr_hann,https://wklink.org/5677,https://wklink.org/9525
454,e18628,CX-2,B,Epon812,CX-2_s1,0,251000000,251000000,85,81.16,Y024_CX2_cSAXS_454_firstTwoThirds_hann,Y024_CX2_cSAXS_454_S03655-S04055_nr_hann,https://wklink.org/9692,https://wklink.org/4687
455,e18628,CX-2,B,Epon812,CX-2_s1,0,185000000,436000000,71.71,61.54,Y024_CX2_cSAXS_455_hann,Y024_CX2_cSAXS_455_S04261-S04865_nr_hann,https://wklink.org/8042,https://wklink.org/9918
854,e19533,v332_2dot,D,TPTE,Y332_2dot_s1,0,25860000,25860000,79.35,80.09,Y332_2dot_cSAXS_854_S16025-S16376_rigid_ramlak,Y332_2dot_cSAXS_854_S16025-S16376_nr_ramlak,https://wklink.org/2406,https://wklink.org/7056
855,e19533,v332_2dot,D,TPTE,Y332_2dot_s1,0,3010000000,3035860000,46.79,39.94,Y332_2dot_cSAXS_855_S16381-S17612_rigid_ramlak,Y332_2dot_cSAXS_855_S16381-S17612_nr_ramlak,https://wklink.org/6054,https://wklink.org/4158
830,e19533,v357_1dot,E,TGPAP,Y357_1dot_s1,0,29440000,29440000,73.55,72.14,Y357_1dot_cSAXS_830_S04782-S05135_rigid_ramlak,Y357_1dot_cSAXS_830_S04782-S05135_nr_ramlak,https://wklink.org/6943,https://wklink.org/1092
